
2025/03/26 (09:00:16) | ===> btop++ v.1.4.0
2025/03/26 (09:00:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (09:00:55) | ===> btop++ v.1.4.0
2025/03/26 (09:00:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (09:02:05) | ===> btop++ v.1.4.0
2025/03/26 (09:02:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (09:02:17) | ===> btop++ v.1.4.0
2025/03/26 (09:02:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (20:21:48) | ===> btop++ v.1.4.0
2025/03/28 (20:21:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (13:59:22) | ===> btop++ v.1.4.0
2025/03/29 (13:59:22) | WARNING: Intel GPU: Failed to initialize PMU
